,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
392295,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/25/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,No Negative,0,3911,Excellent location Nice Apple desktop Room has a fridge Very easy access to trains and tourist buses as well as public transit,24,4,8.8,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",648 day,52.376752,4.904618,North America
392302,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/20/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,Requested early check in and told it was possible but hotel made no effort to get us in early,21,3911,No Positive,0,1,8.3,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",653 day,52.376752,4.904618,North America
392306,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/19/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,No Negative,0,3911,Great location by train station plus easy to walk all around the city,15,3,9.2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",654 day,52.376752,4.904618,North America
392312,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/17/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,Room could have been cleaner,6,3911,Excellent staff breakfast,5,1,7.5,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",656 day,52.376752,4.904618,North America
392314,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/14/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,No Negative,0,3911,central location,3,1,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ']",659 day,52.376752,4.904618,North America
392315,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/14/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,Under staffed on the Skyline lounge Sunday afternoon Slow service I want them to anticipate my drinks,19,3911,All good Loved the warm cookies,8,1,10.0,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 3 nights ']",659 day,52.376752,4.904618,North America
392316,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/13/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,The rooms were not cleaned suffiently and the toilets in the room were to low,16,3911,Central to everything and easy to find,8,1,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",660 day,52.376752,4.904618,Oceania
392319,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/13/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,rooms are very small,5,3911,Great location steps from the train station,9,5,9.6,"[' Leisure trip ', ' Couple ', ' Executive Queen Room with Balcony ', ' Stayed 2 nights ']",660 day,52.376752,4.904618,North America
392326,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,10/5/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,No Negative,0,3911,Proximity to attractions and great view from our room of the city Very clean and staff very friendly,20,2,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",668 day,52.376752,4.904618,North America
392333,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/24/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,Front staff are fine after that down hill the worst Hilton we have staid at in room facilities very poor,22,3911,Location,2,4,4.2,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",679 day,52.376752,4.904618,Oceania
392335,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/21/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,n a,3,3911,Location was great right near train station and a short walk to museums etc Room was very comfortable,20,7,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room with Mobility Access ', ' Stayed 1 night ']",682 day,52.376752,4.904618,Oceania
392336,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/21/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,No Negative,0,3911,I loved the service the breakfast was excellent,9,1,9.2,"[' Leisure trip ', ' Couple ', ' Queen Room with Mobility Access ', ' Stayed 2 nights ']",682 day,52.376752,4.904618,North America
392340,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/18/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,prices of drinks on roof garden a bit on the steep side,13,3911,rooms a good size and clean,7,19,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room with Mobility Access ', ' Stayed 2 nights ']",685 day,52.376752,4.904618,Oceania
392341,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/15/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,Slow wi fi,4,3911,Well maintained new facilities Helpful and friendly staff,10,2,9.2,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 3 nights ']",688 day,52.376752,4.904618,North America
392348,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/10/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,No Negative,0,3911,Great location and very handy for the rail river boats and most tourist locations,16,7,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room with Mobility Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",693 day,52.376752,4.904618,Oceania
392349,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/8/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,None,2,3911,Excellent breakfast very clean rooms and right next to the train station,14,9,10.0,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",695 day,52.376752,4.904618,Oceania
392353,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/7/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,No complaints about this site except a bit too expensive,12,3911,Close to water bus and rail transportation,9,1,9.2,"[' Leisure trip ', ' Couple ', ' Executive Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",696 day,52.376752,4.904618,North America
392357,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,9/1/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,No Negative,0,3911,staff were wonderful very personable lots of good suggestions recognized me and my preferences quicky,16,5,7.9,"[' Leisure trip ', ' Solo traveler ', ' Executive Queen Room ', ' Stayed 6 nights ']",702 day,52.376752,4.904618,North America
392363,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/26/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,Internet was horrible kept disconnecting,7,3911,Central location right next to the train station,10,1,8.8,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 2 nights ']",708 day,52.376752,4.904618,North America
392369,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/23/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,No Negative,0,3911,Very nice and comfortable Very convenient to everything,10,1,10.0,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",711 day,52.376752,4.904618,North America
392370,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/22/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,No Negative,0,3911,Location centrally located,5,1,7.1,"[' Leisure trip ', ' Solo traveler ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",712 day,52.376752,4.904618,North America
392376,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/17/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,It s a very busy hotel It misses the individual touch,13,3911,Proximity to the central station,7,16,5.0,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",717 day,52.376752,4.904618,North America
392378,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/16/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Australia,No Negative,0,3911,Location Location Breakfast,4,1,7.5,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,52.376752,4.904618,Oceania
392381,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/13/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,United States of America,Loved everything,4,3911,Loved the location The breakfast was excellent The staff was extremely nice and helpful,16,3,9.6,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",721 day,52.376752,4.904618,North America
392390,Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,803,8/8/2015,8.4,DoubleTree by Hilton Amsterdam Centraal Station,Canada,Losing our ice pack,5,3911,Complimentary waters,3,1,9.2,"[' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",726 day,52.376752,4.904618,North America
395211,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,8/2/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,Nothing,3,1769,Upon arrival on a hot muggy day we were greeted with a smiling face and a Heineken beer tap right there on the check in counter First decision made The room was fully equipped with great A C and the most comfy bed and pillows we d had on the trip With the next morning free after a lovely breakfast we were happy to be able to book bikes for 3 hours from the hotel No helmets available of course,82,4,9.2,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 1 night ']",1 days,52.3714428,4.9346331,North America
395214,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/26/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,Access for Taxi had to haul our luggage over cobble stones for quite some distance to ain hotel access Price is very high for type of accommodation,29,1769,Very good choice at breakfast all the hot food was very good fresh and perfectly cooked Easy tram links to rail station cruise terminal and Rijksmuseum,28,8,8.3,"[' Leisure trip ', ' Couple ', ' Twin Room Non Smoking ', ' Stayed 2 nights ']",8 days,52.3714428,4.9346331,North America
395217,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/18/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,Absolutely nothing bad to say about the hotel But Booking com was not really there for us regarding a reservation error misunderstanding When we called booking com to find a solution to our problem we were left with our problem more or less alone the only alternative offered by booking com to split up and to acommodate half of out 5 people family incl 3 kids in another hotel in the RedLight district Nice alternative Thanks to Hampton again they offered more than 1 hour of their time and went the extra mile to find the perfect solution for us,102,1769,The front desk staff was amazing They helped us with every little detail and went the extra mile to help us even in several situations that had nothing to do with our hotel reservation Thank you so much especially for your first aid kit and your promise that you would never forget us We also loved the breakfast food and display was excellwnt and very clean Thank you,70,5,10.0,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16 days,52.3714428,4.9346331,North America
395222,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/10/2017,8.4,Hampton by Hilton Amsterdam Centre East,Australia,The frontage of property was very ordinary with cobblestones and steps making it very difficult to access with luggage Also no access to front door for cars The front didn t give a good impression but once inside it was totally different,43,1769,Breakfast was plentiful and delicious and breakfast room was also very pleasantly decorated Rooms were also spacious and pleasant,21,7,9.6,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",24 days,52.3714428,4.9346331,Oceania
395231,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,6/17/2017,8.4,Hampton by Hilton Amsterdam Centre East,Australia,Would like a fridge in the room,9,1769,Only had one night at this hotel but would have been happy to stay longer Beds comfortable My teenage nephew found the pull out sofa bed very comfortable also Good choice of food for breakfast Quiet Only 2 or 3 tram stops from Amsterdam Central Station,48,18,9.2,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ']",47 days,52.3714428,4.9346331,Oceania
395243,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/25/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,No Negative,0,1769,Great location just a short tram ride from central station and a two minute walk Hotel was clean and comfy Breakfast was great especially the cappuccino machine,29,1,7.5,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",70 days,52.3714428,4.9346331,North America
395250,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/11/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,Room cleaning service needs more attention to detail when cleaning and servicing the room s,17,1769,Excellent front desk staff Breakfast was great Short walk to the tram and access to all of Amsterdam Solid value for cost,24,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Queen Room Non Smoking ', ' Stayed 3 nights ']",84 days,52.3714428,4.9346331,North America
395253,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/4/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,First manager she was so rude not understandable when she talk to you in order very bad for the cash check out she asked me for my passport and my wife passport when I gave her 500 she said she said I don t have a change and no Bank near you have to go to the city the hotel far form center Barking 25 The room is a small The neighborhood boring,74,1769,Non,2,60,3.3,"[' Family with young children ', ' Twin Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",91 days,52.3714428,4.9346331,North America
395273,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,3/31/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,While we had no problem parking spaces are very limited and there are no reservations possible Otherwise very nice secure private garage available,25,1769,Great location Just a 10 min ride via Tram 26 to Central Station Tram 10 also goes to the south side of the city Easy location for drivers to find w o having to navigate the chaos of the inner city Great breakfast buffet every morning w eggs sausage bacon waffles assorted meats and cheese coffee juice breads etc Wifi worked great in the property Very comfortable bedding and pillows Staff was very helpful with directions and recommendations for dinner,82,3,10.0,"[' Leisure trip ', ' Group ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ']",125 day,52.3714428,4.9346331,North America
395283,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,3/19/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,The location was a bit out of the way from most city attractions The staff was not as friendly and accommodating as the hotel o moved to that was closer to city center It also lacked charm and was more of a standard hotel,46,1769,The room size was generous,7,1,7.5,"[' Leisure trip ', ' Solo traveler ', ' Queen Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",137 day,52.3714428,4.9346331,North America
395293,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,2/21/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,No Negative,0,1769,The place was wonderful clean and the bed was very comfortable The staff was very helpful The location is right by the train station and you can get downtown in 5 min,34,7,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",163 day,52.3714428,4.9346331,North America
395305,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,12/28/2016,8.4,Hampton by Hilton Amsterdam Centre East,Australia,Some TV channels were not getting signals just black screen And I spoke to the reception they re not very friendly and rather defensive And I wasn t even complaining I was just giving them a heads up just an FYI thing,44,1769,One of the staffs doing the breakfast was so friendly and lovely Your pancake machine for breakfast is fantastic,21,5,8.3,"[' Leisure trip ', ' Solo traveler ', ' Queen Room Non Smoking ', ' Stayed 3 nights ']",218 day,52.3714428,4.9346331,Oceania
395318,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,11/27/2016,8.4,Hampton by Hilton Amsterdam Centre East,Australia,No Negative,0,1769,Very nice rooms good breakfast The hotel is a 6 minute tram ride to Centraal Station where you could then walk into the main part of Amsterdam Friendly staff Would stay here again as it was good value for money,42,22,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 1 night ']",249 day,52.3714428,4.9346331,Oceania
395323,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,11/19/2016,8.4,Hampton by Hilton Amsterdam Centre East,Australia,The food selection at night time has good size portions but is limited in what you can order because is pre made They have two carparks and the main one was full so we had to go to the second one across the street and is fine but need the hotel staff with you every time you need to get things out of your car,67,1769,The included breakfast had a good selection to choose from except the scrambled eggs they were quite bland I like they had a sofabed so you fit three or four in a room and it was comfortable and the room size was decent The shower has a temperature control feature which is a nice touch having a bath is old fashioned in a modern hotel The staff were excellent caring for every need and generally happy and friendly The hampton is near a tram stop so the main part of the city is only a few stops away and only costs 7 50 euros for unlimited travel on the trams for a day,115,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Twin Room Non Smoking ', ' Stayed 1 night ']",257 day,52.3714428,4.9346331,Oceania
395328,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,10/24/2016,8.4,Hampton by Hilton Amsterdam Centre East,New Zealand,No Negative,0,1769,One of the best places we have stayed The service was outstanding Every staff member we encountered were really friendly The rooms were very comfortable and really clean I would stay here again in a heartbeat,38,6,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",283 day,52.3714428,4.9346331,Oceania
395336,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,9/17/2016,8.4,Hampton by Hilton Amsterdam Centre East,Canada,Free coffee or tea outside of breakfast hours would have been nice,14,1769,Breakfast had a lot of variety and included both hot and cold items Easy tram ride to Central station and cruise ship port Convenient that hotel sold tram pass,31,7,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",320 day,52.3714428,4.9346331,North America
395338,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,9/8/2016,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,I had to wait a long time to get a room after check in and flying in from the US you are real tired when you get it Most places I stay in Europe are understanding and get those that have been awake all night the first rooms and don t make them wait until 3 pm yes I know the rules but when flying in from the US you get in at 8 am and have been awake all night,83,1769,staff was nice and helpful,6,1,7.5,"[' Solo traveler ', ' Queen Room Non Smoking ', ' Stayed 4 nights ']",329 day,52.3714428,4.9346331,North America
395339,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,9/4/2016,8.4,Hampton by Hilton Amsterdam Centre East,Australia,No Negative,0,1769,Staff were very friendly and helpful The room was clean and the beds were very comfortable The bathroom was clean The room was quiet Breakfast had a good selection of foods Close to tram stops,37,42,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",333 day,52.3714428,4.9346331,Oceania
395342,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,8/28/2016,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,The satellite television was going out for most of the time I was there but it was really beyond the control of the hotel staff,27,1769,The staff was very friendly and Pooja was very attentive and helpful The room was beautiful and near everything we needed,23,2,10.0,"[' Leisure trip ', ' Family with older children ', ' Queen Room Non Smoking ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",340 day,52.3714428,4.9346331,North America
395345,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,8/21/2016,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,The only disappointment was the food I was excited with kids to have breakfast included The eggs were undercooked and the bacon was still raw Seriously raw We tried ordering a small snack for the kids after a long day out and the chips for the nachos were stale I know hotels aren t there for the food but these three things were exceptionally poor,67,1769,Clean So thankful that I booked here last minute We were on a long vacation and I was confining reservations for another location after watching the reviews on that location I was scared I read the reviews here and felt better It is literally a 3 minute walk to a tram station that can take you right back to central station within 5 7 minutes so don t be concerned that you are out of the city center It was clean quiet larger rooms and a large breakfast,90,6,9.2,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",347 day,52.3714428,4.9346331,North America
395361,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/9/2016,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,Its a new hotel so the front desk people are straggling still and their check in and check out was very slow We had to leave because we would be late for our flight and i never got a check out receipt I am sure it will be fixed soon not the peoples fault,56,1769,Nice and clean Didnt have time for breakfast,10,1,8.3,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",390 day,52.3714428,4.9346331,North America
395368,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,6/17/2016,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,No Negative,0,1769,The breakfast was amazing beds were super comfortable staff were very cheerful and helpful the whole property was clean and the price was very reasonable for a family of three We would recommend the hotel to anyone,39,1,10.0,"[' Leisure trip ', ' Family with older children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 1 night ']",412 day,52.3714428,4.9346331,North America
395377,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/30/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,a little out of the way but public transport handy,11,1769,good breakfast helpful staff with transport information,9,4,9.6,"[' Leisure trip ', ' Group ', ' Twin Room Non Smoking ', ' Stayed 1 night ']",4 days,52.3714428,4.9346331,North America
395381,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/25/2017,8.4,Hampton by Hilton Amsterdam Centre East,Australia,nothing,2,1769,Great breakfast and prox to transport,7,21,9.0,"[' Leisure trip ', ' Group ', ' Queen Room Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",9 days,52.3714428,4.9346331,Oceania
395382,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/22/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,n a,3,1769,the service,3,2,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 1 night ']",12 days,52.3714428,4.9346331,North America
395385,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,7/17/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,No Negative,0,1769,Clean and comfortable rooms Excellent breakfast,8,4,9.2,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",17 days,52.3714428,4.9346331,North America
395398,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,6/14/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,Stay was not long enough,6,1769,The staff was very helpful and the ladies in the dining room were great,15,2,10.0,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",50 days,52.3714428,4.9346331,North America
395401,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,6/2/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,No Negative,0,1769,Location was excellent food was very good staff were friendly and very helpful,14,1,4.6,"[' Leisure trip ', ' Couple ', ' Queen Room Non Smoking ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",62 days,52.3714428,4.9346331,North America
395403,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/26/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,They didn t offer free bottle of water to Hilton Honor members,14,1769,Great breakfast selection despite the crowded layout,9,1,7.9,"[' Leisure trip ', ' Family with young children ', ' Twin Room Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",69 days,52.3714428,4.9346331,North America
395404,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/26/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,a bit small,4,1769,great breakfast clean convenient near tram stop,8,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",69 days,52.3714428,4.9346331,North America
395406,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/18/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,Too tiny room to accommodate 2 adults plus a baby,12,1769,Delicious breakfast,3,2,8.8,"[' Leisure trip ', ' Family with young children ', ' Queen Room Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",77 days,52.3714428,4.9346331,North America
395408,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,5/12/2017,8.4,Hampton by Hilton Amsterdam Centre East,Australia,No shopping close by,6,1769,It was quiet,5,2,9.6,"[' Leisure trip ', ' Family with young children ', ' Twin Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",83 days,52.3714428,4.9346331,Oceania
395413,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,4/28/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,The stuff specially the manager,7,1769,No Positive,0,60,3.3,"[' Family with young children ', ' Twin Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",97 days,52.3714428,4.9346331,North America
395420,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,4/19/2017,8.4,Hampton by Hilton Amsterdam Centre East,United States of America,Limited selection for breakfast as well as seating No mini fridge in room,15,1769,Short and easy walk to tram Central station within 10 mins,13,8,7.5,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",106 day,52.3714428,4.9346331,North America
395436,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,3/12/2017,8.4,Hampton by Hilton Amsterdam Centre East,Australia,No Negative,0,1769,A little bit away from the city But close too public transport But only a few stops away Breakfast was so so good,25,3,10.0,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",144 day,52.3714428,4.9346331,Oceania
395451,Panama Laan 188 196 Zeeburg 1019 AZ Amsterdam Netherlands,192,2/2/2017,8.4,Hampton by Hilton Amsterdam Centre East,Canada,At little out of the way but really close to the metro,13,1769,Free breakfast was a huge bonus,7,1,8.8,"[' Leisure trip ', ' Family with young children ', ' Queen Room with Sofa Bed Non Smoking ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",182 day,52.3714428,4.9346331,North America
